source,target,group
Rioters (Niger),Police Forces of Niger (1996-1999),1
FARS: Revolutionary Armed Forces of the Sahara,Civilians (Niger),3
Military Forces of Niger (1996-1999),FARS: Revolutionary Armed Forces of the Sahara,1
FARS: Revolutionary Armed Forces of the Sahara,Military Forces of Niger (1996-1999),1
Police Forces of Niger (1996-1999),Civilians (Niger),1
Islamist Militia (Niger),Civilians (Niger),1
Islamist Militia (Algeria),Police Forces of Niger (1996-1999),1
Mutiny of Military Forces of Niger (1996-1999),Military Forces of Niger (1996-1999),4
Police Forces of Niger (1996-1999),Djermas Ethnic Militia (Niger),9
Police Forces of Niger (1996-1999),Tuareg Ethnic Militia (Niger),1
Djermas Ethnic Militia (Niger),Tuareg Ethnic Militia (Niger),1
ADIN: Association for the Propagation of Islam in Niger,Adoua Ethnic Militia (Niger),2
Police Forces of Niger (1996-1999),Rioters (Niger),2
Mutiny of Military Forces of Niger (1996-1999),Civilians (Niger),1
Rioters (Niger),Police Forces of Niger (1999-2010),2
Rioters (Niger),Civilians (Niger),1
Mutiny of Military Forces of Niger (1999-2010),Civilians (Niger),3
Toubou Ethnic Militia (Niger),Hausa Ethnic Militia (Nigeria),1
FARS: Revolutionary Armed Forces of the Sahara,Military Forces of Niger (1999-2010),2
Mutiny of Military Forces of Niger (1999-2010),Military Forces of Niger (1999-2010),1
Police Forces of Niger (2000-2010),Unidentified Armed Group (Niger),20
Military Forces of Niger (1999-2010),Civilians (Niger),7
Mutiny of Military Forces of Niger (2000-2010),Civilians (Niger),1
Military Forces of Nigeria (1999-2015),Al-Sunna wal Jamma Militia,5
Military Forces of Niger (1999-2010),GSPC: Salafist Group for Call and Combat,1
FLAA: The Air and Azawagh Liberation Front,Civilians (Niger),1
Unidentified Armed Group (Niger),Military Forces of Niger (1999-2010),1
FLAA: The Air and Azawagh Liberation Front,Police Forces of Niger (1999-2010),3
Unidentified Armed Group (Niger),Civilians (International),2
Dosso Ethnic Militia (Niger),Dosso Ethnic Militia (Niger),1
Fulani Ethnic Militia (Niger),Dosso Ethnic Militia (Niger),1
MNJ: Nigerien Movement for Justice,Civilians (Niger),4
MNJ: Nigerien Movement for Justice,Military Forces of Niger (1999-2010),2
MNJ: Nigerien Movement for Justice,Civilians (International),2
Protesters (Niger),Police Forces of Niger (1999-2010),17
Military Forces of Niger (1999-2010),Unidentified Armed Group (Niger),2
Military Forces of Niger (2010-2011),AQIM: Al Qaeda in the Islamic Maghreb,1
Rioters (Niger),Police Forces of Niger (2010-2011),1
Military Forces of Niger (2010-2011),Militia (Pro-Government),1
Military Forces of Niger (2010-2011),Unidentified Armed Group (Niger),2
Military Forces of Niger (2011-),Boko Haram - JamaÕatu Ahli is-Sunnah lid-Dawatai wal-Jihad,4
Military Forces of Niger (2011-),Unidentified Armed Group (Mali),1
Military Forces of Niger (2011-),Military Forces of Mali (2012-2013),1
Boko Haram - JamaÕatu Ahli is-Sunnah lid-Dawatai wal-Jihad,Military Forces of Niger (2011-),1
Those Who Signed in Blood,Military Forces of Niger (2011-),1
Rioters (Niger),Military Forces of Niger (2011-),6
Unidentified Communal Militia (Niger),Unidentified Communal Militia (Niger),2
Boko Haram - JamaÕatu Ahli is-Sunnah lid-Dawatai wal-Jihad,Civilians (Niger),2
Police Forces of Niger (1999-2010),Civilians (Niger),55
Military Forces of Niger (1996-1999),Civilians (Niger),6
Unidentified Armed Group (Niger),Military Forces of Niger (2011-),7
Government of Niger (2011-),Civilians (Niger),3
Police Forces of Niger (2011-),Rioters (Niger),3
Rioters (Niger),Military Forces of Niger (1999-2010),5
MNJ: Nigerien Movement for Justice,Police Forces of Niger (1999-2010),9
Unidentified Armed Group (Niger),Unidentified Armed Group (Niger),4
Police Forces of Niger (2011-),Mutiny of Military Forces of Niger (2011-),2
Boko Haram - JamaÕatu Ahli is-Sunnah lid-Dawatai wal-Jihad,Police Forces of Niger (2011-),7
Police Forces of Niger (2011-),Civilians (Niger),20
Fassi Ethnic Militia (Niger),Fassi Ethnic Militia (Niger),5
Military Forces of Niger (1996-1999),Unidentified Armed Group (Niger),2
FRDD: Front for the Restoration and Defence of Democracy,Civilians (Niger),1
FDR: Democratic Front for Renewal,Military Forces of Niger (1996-1999),8
MUJAO: Movement for Unity and Jihad in West Africa,Police Forces of Niger (2011-),6
FARS: Revolutionary Armed Forces of the Sahara,Civilians (International),13
Military Forces of Niger (1999-2010),Rioters (Niger),2
Protesters (Niger),Police Forces of Niger (1996-1999),19
Military Forces of Niger (1999-2010),MNJ: Nigerien Movement for Justice,2
Fulani Ethnic Militia (Niger),Nupe Ethnic Militia (Niger),4
MUJAO: Movement for Unity and Jihad in West Africa,Civilians (Niger),3
Police Forces of Niger (2011-),Boko Haram - JamaÕatu Ahli is-Sunnah lid-Dawatai wal-Jihad,4
Police Forces of Niger (1996-1999),Unidentified Armed Group (Niger),15
Boko Haram - Wilayat Gharb Ifriqiyyah,Gogone Communal Militia (Niger),4
Diawondo Ethnic Militia (Niger),Waze Ethnic Militia (Niger),32
Police Forces of Niger (2011-),Unidentified Armed Group (Niger),5
Tuareg Ethnic Militia (Niger),Military Forces of Niger (1996-1999),3
Toubou Ethnic Militia (Niger),Tuareg Ethnic Militia (Niger),5
Military Forces of Niger (1999-2010),FLAA: The Air and Azawagh Liberation Front,1
Military Forces of Niger (1999-2010),Tuareg Ethnic Militia (Niger),1
FLAA: The Air and Azawagh Liberation Front,Civilians (International),9
Police Forces of Nigeria (1999-2015),Al-Sunna wal Jamma Militia,1
Police Forces of Niger (2011-),Protesters (Niger),9
Nigerian Liberation Organization Militia,Civilians (Nigeria),5
Unidentified Armed Group (Nigeria),Military Forces of Nigeria (1993-1999),1
NADECO: National Democratic Coalition Militia,Civilians (Nigeria),3
Police Forces of Nigeria (1993-1999),Civilians (Nigeria),2
Rioters (Nigeria),Police Forces of Nigeria (1993-1999),3
Panyam Communal Militia (Nigeria),Changai Communal Militia (Nigeria),1
Campus Cult Militia,Campus Cult Militia,1
Ijaw Ethnic Militia (Nigeria),Ikpokpo Communal Militia (Nigeria),1
Ife Ethnic Militia (Nigeria),Modakeke Ethnic Militia (Nigeria),1
Ijaw Ethnic Militia (Nigeria),Itsekiri Ethnic Militia (Nigeria),3
Unidentified Armed Group (Nigeria),Police Forces of Nigeria (1993-1999),6
Ekori Ethnic Militia (Nigeria),Ekori Ethnic Militia (Nigeria),7
Gindiri Ethnic Militia (Nigeria),Panyam Communal Militia (Nigeria),7
Modakeke Ethnic Militia (Nigeria),Ife Ethnic Militia (Nigeria),1
Ijaw Ethnic Militia (Nigeria),Military Forces of Nigeria (1993-1999),1
Military Forces of Nigeria (1993-1999),Civilians (Nigeria),3
Berom Ethnic Militia (Nigeria),Hausa Ethnic Militia (Nigeria),2
Military Forces of Nigeria (1993-1999),RUF: Revolutionary United Front,4
Unidentified Ethnic Militia (Nigeria),Civilians (International),4
Militia (Oil Workers),Civilians (Nigeria),2
Ekakpamre Communal Militia (Nigeria),Civilians (Nigeria),1
UAD: United Action for Democracy Militia,Police Forces of Nigeria (1993-1999),3
Protesters (Nigeria),Police Forces of Nigeria (1993-1999),1
RSISTF: Rivers State Internal Security Task Force,Civilians (Nigeria),2
PDP: Peoples Democratic Party,AD: Alliance for Democracy,4
JAC: Joint Action Committtee,Police Forces of Nigeria (1993-1999),5
Unidentified Armed Group (Chad),Civilians (Nigeria),2
Unidentified Armed Group (Nigeria),Rioters (Nigeria),3
Rioters (Nigeria),Esa-Oke Communal Militia (Nigeria),4
Military Forces of Nigeria (1999-2015) Joint Task Force,Civilians (Nigeria),2
Unidentified Armed Group (Nigeria),Ijaw Ethnic Militia (Nigeria),2
Urhobo Ethnic Militia (Nigeria),Igbo Ethnic Militia (Nigeria),1
Jukun-Chamba Communal Militia (Nigeria),Kutep Communal Militia (Nigeria),8
Ekakpamre Communal Militia (Nigeria),Civilians (International),1
OPC: Oodua Peoples Congress,Police Forces of Nigeria (1993-1999),5
Kirikasama Communal Militia (Nigeria),Fulani Ethnic Militia (Chad),1
Yoruba Ethnic Militia (Nigeria),Police Forces of Nigeria (1993-1999),2
Aguleri Ethnic Militia (Nigeria),Umuleri Ethnic Militia (Nigeria),3
Yoruba Ethnic Militia (Nigeria),Ijaw Ethnic Militia (Nigeria),3
Area Boys Militia,Civilians (Nigeria),4
OPC: Oodua Peoples Congress,Ijaw Ethnic Militia (Nigeria),1
OPC: Oodua Peoples Congress,Police Forces of Nigeria (1999-2015),1
Urhobo Ethnic Militia (Nigeria),Itsekiri Ethnic Militia (Nigeria),3
Military Forces of Nigeria (1999-2015),Civilians (Nigeria),2
Ijaw Ethnic Militia (Nigeria),Military Forces of Nigeria (1999-2015),1
Unidentified Armed Group (Nigeria),Police Forces of Nigeria (1999-2015),5
Opobo Youths Federation Militia,Civilians (International),9
Area Boys Militia,Isalako Ethnic Militia (Nigeria),4
Ijaw Ethnic Militia (Nigeria),Police Forces of Nigeria (1999-2015),1
Police Forces of Nigeria (1999-2015),Civilians (Nigeria),1
Ijaw Ethnic Militia (Nigeria),Ilajes Ethnic Militia (Nigeria),2
Ijaw Ethnic Militia (Nigeria),Civilians (International),4
Unidentified Armed Group (Niger),Civilians (Nigeria),2
Ukum Communal Militia (Nigeria),Chanchangi Communal Militia (Nigeria),1
Police Forces of Nigeria (1999-2015),OPC: Oodua Peoples Congress,6
Okrika Communal Militia (Nigeria),Ogoni Ethnic Militia (Nigeria),2
Police Forces of Nigeria (1999-2015),Rioters (Nigeria),1
Shiite Muslim Militia (Nigeria),Sunni Muslim Militia (Nigeria),3
Campus Cult Militia,Civilians (Nigeria),3
Police Forces of Nigeria (1999-2015),Military Forces of Nigeria (1993-1999),3
Yoruba Ethnic Militia (Nigeria),Police Forces of Nigeria (1999-2015),6
Yoruba Ethnic Militia (Nigeria),Civilians (Nigeria),1
OPC: Oodua Peoples Congress,OPC: Oodua Peoples Congress,3
Okrika Communal Militia (Nigeria),Eleme Ethnic Militia (Nigeria),1
Ibibio Ethnic Militia (Nigeria),Efik Ethnic Militia (Nigeria),10
Ile-Ife Communal Militia (Nigeria),Modakeke Ethnic Militia (Nigeria),7
Ogoni Ethnic Militia (Nigeria),Police Forces of Nigeria (1999-2015),3
Rioters (Nigeria),Police Forces of Nigeria (1999-2015),10
PDP: Peoples Democratic Party,Police Forces of Nigeria (1999-2015),5
Evwreni Ethnic Militia (Nigeria),Police Forces of Nigeria (1999-2015),6
Yoruba Ethnic Militia (Nigeria),Unidentified Armed Group (Nigeria),1
ANCA: Customs Clearing Agents,Police Forces of Nigeria (1999-2015),1
Police Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1
OPC: Oodua Peoples Congress,Unidentified Armed Group (Nigeria),7
OPC: Oodua Peoples Congress,Mutiny of OPC: Oodua Peoples Congress,2
Police Forces of Nigeria (1999-2015),Civilians (Libya),6
MOSOP: Movement for the Survival of the Ogoni People,Mutiny of MOSOP: Movement for the Survival of the Ogoni People,2
Police Forces of Nigeria (1999-2015),MASSOB: Movement for the Actualization of a Sovereign State of Biafra,1
Ke Ethnic Militia (Nigeria),Bille Ethnic Militia (Nigeria),6
Unidentified Communal Militia (Nigeria),Fulani Ethnic Militia (Nigeria),4
PDP: Peoples Democratic Party,Civilians (Nigeria),1
Alakuko Communal Militia (Nigeria),Civilians (Nigeria),1
Police Forces of Nigeria (1999-2015),Unidentified Armed Group (Nigeria),2
Deyor Ethnic Militia (Nigeria),Deken Ethnic Militia (Nigeria),2
Tiv Ethnic Militia (Nigeria),Kwala Ethnic Militia (Nigeria),1
Odimodi Ethnic Militia (Nigeria),Ogulagha Communal Militia (Nigeria),2
Bakassi Boys Militia,Civilians (Nigeria),3
Black Axe Student Militia,Viking 22 Student Militia,4
Tiv Ethnic Militia (Nigeria),Fulani Ethnic Militia (Nigeria),6
PDP: Peoples Democratic Party,ANPP: All Nigeria Peoples Party,4
Police Forces of Nigeria (1999-2015),Unidentified Armed Group (Niger),1
Tiv Ethnic Militia (Nigeria),Military Forces of Nigeria (1999-2015),2
Okrika Communal Militia (Nigeria),Police Forces of Nigeria (1999-2015),10
Odukpani Ethnic Militia (Nigeria),Oko Igboko Communal Militia (Nigeria),3
Mambilla Ethnic Militia (Nigeria),Fulani Ethnic Militia (Nigeria),3
Yoruba Ethnic Militia (Nigeria),NURTW: National Union of Road Transport Workers,2
Unidentified Ethnic Militia (Nigeria),Unidentified Ethnic Militia (Nigeria),1
Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),3
Yoruba Ethnic Militia (Nigeria),Military Forces of Nigeria (1999-2015),2
OPC: Oodua Peoples Congress,Hausa Ethnic Militia (Nigeria),1
Fulani Ethnic Militia (Nigeria),Unidentified Ethnic Militia (Nigeria),9
Police Forces of Nigeria (1999-2015),Ijaw Ethnic Militia (Nigeria),1
Fokpo Ethnic Militia (Nigeria),Doko Ethnic Militia (Nigeria),2
Unidentified Armed Group (Nigeria),Operation Fire for Fire Militia,23
Biro Ethnic Militia (Nigeria),Fulani Ethnic Militia (Nigeria),6
Wukari Communal Militia (Nigeria),Civilians (Nigeria),4
Itsekiri Ethnic Militia (Nigeria),Urhobo Ethnic Militia (Nigeria),2
AD: Alliance for Democracy,Okitipupa Ethnic Militia (Nigeria),5
ANPP: All Nigeria Peoples Party,Civilians (Nigeria),3
Amadi Ama-Okrika Communal Militia (Nigeria),Obgunabali-Ikwewe Ethnic Militia (Nigeria),3
Yugur Ethnic Militia (Nigeria),Fulani Ethnic Militia (Nigeria),1
Igbarra Ethnic Militia (Nigeria),Civilians (Nigeria),3
Igbarra Ethnic Militia (Nigeria),Gbagyi Ethnic Militia (Nigeria),4
Fulani Ethnic Militia (Nigeria),Tarok Ethnic Militia (Nigeria),5
ANPP: All Nigeria Peoples Party,PDP: Peoples Democratic Party,6
Unidentified Armed Group (Nigeria),AD: Alliance for Democracy,9
Unidentified Armed Group (Nigeria),Military Forces of Nigeria (1999-2015),2
Inyimagu Ethnic Militia (Nigeria),Agbaja Ethnic Militia (Nigeria),8
Itsekiri Ethnic Militia (Nigeria),Civilians (Nigeria),9
Oniko Ethnic Militia (Nigeria),Etti Ethnic Militia (Nigeria),1
Itsekiri Ethnic Militia (Nigeria),Ijaw Ethnic Militia (Nigeria),3
Private Security Forces (Nigeria),Civilians (Nigeria),2
Igbo Ethnic Militia (Nigeria),Itsekiri Ethnic Militia (Nigeria),4
Unidentified Armed Group (Nigeria),Al-Sunna wal Jamma Militia,1
Ijaw Ethnic Militia (Nigeria),Ijaw Ethnic Militia (Nigeria),13
Military Forces of Nigeria (1999-2015),Unidentified Armed Group (Nigeria),18
Military Forces of Nigeria (1999-2015),Rioters (Nigeria),3
Arab Ethnic Militia (Nigeria),Civilians (Nigeria),3
Vigilante Militia (Nigeria),Al-Sunna wal Jamma Militia,3
Eye Confraternity Militia (Students),Black Axe Student Militia,13
Military Forces of Nigeria (1999-2015),Unidentified Ethnic Militia (Nigeria),3
FERMA: Federal Emergency Road Maintenance Agency,LASTMA: Lagos State Traffic Management Authority,9
Viking 22 Student Militia,Black Axe Student Militia,1
Black Beret Student Militia,Black Axe Student Militia,1
Viking 22 Student Militia,Black Beret Student Militia,2
Police Forces of Nigeria (1999-2015),Muslim Militia (Nigeria),2
Military Forces of Nigeria (1999-2015),NDPVF: Niger Delta Peoples Volunteer Force,5
SLM/A: Sudan Liberation Movement/Army,Military Forces of Sudan (1989-),6
Imorere Ethnic Militia (Nigeria),Ibanuha Ethnic Militia (Nigeria),2
Police Forces of Nigeria (1999-2015),Protesters (Nigeria),3
NDV: Niger Delta Vigilant Militia,NDPVF: Niger Delta Peoples Volunteer Force,4
Unidentified Armed Group (Nigeria),Militia (Federal Road Maintenance Agency),3
Ukele Ethnic Militia (Nigeria),Civilians (Nigeria),18
Unidentified Ethnic Militia (Nigeria),Unidentified Ethnic Militia (Cameroon),1
AD: Alliance for Democracy,PDP: Peoples Democratic Party,10
Igbo Ethnic Militia (Nigeria),Civilians (Nigeria),6
Hausa Ethnic Militia (Nigeria),Kurama Ethnic Militia (Nigeria),2
Sunni Muslim Militia (Nigeria),Civilians (Nigeria),1
Military Forces of Nigeria (1999-2015),NURTW: National Union of Road Transport Workers,1
OPC: Oodua Peoples Congress,Civilians (Nigeria),10
Unidentified Armed Group (Nigeria),Area Boys Militia,10
MASSOB: Movement for the Actualization of a Sovereign State of Biafra,Civilians (Nigeria),6
Ogboji Ethnic Militia (Nigeria),Onicha Ethnic Militia (Nigeria),5
Military Forces of Nigeria (1999-2015),MEND: Movement for the Emancipation of the Niger Delta,2
Unidentified Armed Group (Nigeria),Civilians (Niger),1
Police Forces of Nigeria (1999-2015),Military Forces of Nigeria (1999-2015),2
MONDP: Movement for the Niger Delta People,Civilians (International),12
Unidentified Armed Group (Nigeria),NDLEA: National Drug Law Enforcement Agency,6
